                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1441,                 1.7805,                 1.2234,                 0.7052,                0.24997,                0.41528,                0.17794,                  2.182,                 2.4527,                 1.3394,             0.00022876,             0.00022876,             0.00022876
                     35,                 2.0379,                 1.7848,                 1.2547,                0.71207,                0.27684,                0.44122,                0.17907,                 2.1731,                 2.3738,                 1.3249,             0.00022222,             0.00022222,             0.00022222
                     36,                 2.0273,                 1.7381,                 1.2378,                0.71207,                0.27684,                0.44122,                0.17907,                 2.1731,                 2.3738,                 1.3249,              0.0002149,              0.0002149,              0.0002149
                     37,                  2.041,                 1.6055,                 1.2175,                0.70374,                0.31911,                0.46699,                0.19763,                 2.1675,                 2.3054,                 1.3216,             0.00020678,             0.00020678,             0.00020678
                     38,                 1.9502,                 1.6312,                 1.2313,                0.70374,                0.31911,                0.46699,                0.19763,                 2.1675,                 2.3054,                 1.3216,             0.00019788,             0.00019788,             0.00019788
                     39,                 2.0946,                 1.7033,                 1.2288,                0.73054,                0.34328,                0.50764,                0.21393,                 2.1684,                 2.2192,                 1.3131,             0.00018818,             0.00018818,             0.00018818
                     40,                 1.9772,                 1.6314,                 1.2285,                0.73054,                0.34328,                0.50764,                0.21393,                 2.1684,                 2.2192,                 1.3131,             0.00017768,             0.00017768,             0.00017768
                     41,                 1.9391,                 1.4047,                 1.1919,                0.75368,                0.39552,                0.53068,                 0.2198,                 2.1793,                 2.1774,                 1.3236,              0.0001664,              0.0001664,              0.0001664
                     42,                 2.0336,                 1.4283,                  1.259,                0.75368,                0.39552,                0.53068,                 0.2198,                 2.1793,                 2.1774,                 1.3236,             0.00015432,             0.00015432,             0.00015432
                     43,                 2.0167,                 1.3398,                 1.1963,                0.74135,                0.43284,                0.55111,                0.22027,                 2.1943,                 2.1246,                 1.3306,             0.00014146,             0.00014146,             0.00014146
                     44,                 1.9986,                 1.4087,                 1.2171,                0.74135,                0.43284,                0.55111,                0.22027,                 2.1943,                 2.1246,                 1.3306,              0.0001278,              0.0001278,              0.0001278
                     45,                 1.9849,                 1.3223,                 1.1764,                0.69089,                0.45038,                0.53962,                0.21884,                 2.2083,                 2.0882,                 1.3312,             0.00011334,             0.00011334,             0.00011334
                     46,                 1.9459,                 1.3163,                 1.1721,                0.69089,                0.45038,                0.53962,                0.21884,                 2.2083,                 2.0882,                 1.3312,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                 1.9776,                 1.3718,                 1.2307,                 0.6787,                0.45522,                0.52839,                 0.2168,                 2.2206,                 2.0595,                 1.3331,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                 1.9302,                 1.3021,                 1.1893,                 0.6787,                0.45522,                0.52839,                 0.2168,                 2.2206,                 2.0595,                 1.3331,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                 2.0289,                  1.303,                 1.1729,                0.69707,                0.48507,                0.56245,                0.22187,                 2.2309,                   2.04,                 1.3371,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                 1.9693,                 1.3384,                 1.1922,                0.69707,                0.48507,                0.56245,                0.22187,                 2.2309,                   2.04,                 1.3371,             2.9204e-05,             2.9204e-05,             2.9204e-05
