                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4779,                0.78516,                 1.0116,                0.88657,                0.90186,                0.92381,                  0.502,                 1.5772,                0.75449,                 1.0381,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5037,                0.76845,                 1.0099,                0.88931,                 0.8931,                0.93146,                0.49265,                 1.6107,                0.74556,                 1.0475,               0.000614,               0.000614,               0.000614
                     37,                 1.5295,                0.77443,                 1.0156,                0.89479,                0.89858,                0.94034,                0.50188,                  1.603,                0.73034,                 1.0487,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4773,                0.75869,                 1.0129,                0.88486,                0.89529,                0.93546,                0.50012,                  1.581,                0.76416,                 1.0382,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5087,                 0.7678,                0.99777,                 0.8915,                0.89034,                 0.9344,                0.49596,                 1.5835,                0.75126,                 1.0388,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5278,                0.78809,                 1.0035,                0.88299,                0.89821,                0.93038,                0.50505,                 1.5806,                0.73388,                 1.0383,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.5417,                0.85111,                 1.0478,                0.87718,                0.91098,                0.91443,                0.49657,                 1.5753,                0.75339,                 1.0358,               0.000416,               0.000416,               0.000416
                     42,                 1.5062,                0.79864,                 1.0313,                0.87001,                0.91572,                0.92169,                0.49192,                 1.6086,                0.74848,                 1.0519,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.494,                0.77989,                 1.0279,                0.87727,                0.90495,                0.92718,                0.50465,                 1.5732,                0.73803,                 1.0424,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4797,                0.76207,                 1.0235,                0.87137,                0.90952,                0.93084,                0.50419,                  1.592,                0.73134,                 1.0397,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.4828,                0.75062,                 1.0252,                0.86929,                0.91469,                0.92866,                0.50774,                 1.5817,                0.72508,                 1.0369,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4585,                0.74354,                 1.0235,                0.88417,                0.90508,                0.93469,                0.50221,                 1.5899,                0.72258,                 1.0396,               0.000218,               0.000218,               0.000218
                     47,                 1.4612,                0.74986,                 1.0288,                0.89631,                0.89456,                 0.9365,                0.50238,                 1.5981,                0.72754,                 1.0426,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4553,                0.74012,                 1.0223,                0.90976,                0.89379,                0.94404,                0.51164,                 1.5659,                0.71312,                 1.0352,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.4568,                0.74545,                 1.0307,                0.90644,                0.89347,                0.94256,                0.50908,                 1.5766,                0.71625,                 1.0378,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  1.441,                0.72355,                 1.0187,                0.89621,                0.90416,                0.93917,                0.50592,                 1.5887,                0.71573,                 1.0401,               5.96e-05,               5.96e-05,               5.96e-05
