                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4367,                0.74201,                 1.0138,                0.87065,                0.92882,                0.93933,                0.53299,                 1.5235,                0.71723,                  1.062,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4399,                0.73778,                 1.0156,                0.88197,                0.92582,                0.94898,                0.52458,                 1.5504,                0.73679,                 1.0698,               0.000614,               0.000614,               0.000614
                     37,                  1.406,                0.73356,                0.99763,                0.87786,                0.92847,                0.95449,                0.53562,                 1.5185,                0.72007,                 1.0582,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3972,                0.72772,                 1.0047,                0.87414,                0.92308,                0.95181,                0.53537,                 1.5258,                0.70681,                 1.0635,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4131,                 0.7192,                 1.0111,                0.88466,                0.92366,                0.95481,                0.53401,                 1.5351,                0.71347,                 1.0651,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3987,                0.70289,                0.99896,                0.89273,                0.90897,                0.95615,                0.52736,                 1.5483,                 0.7068,                 1.0723,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3842,                0.81487,                 1.0169,                0.87679,                0.91779,                0.94747,                0.53679,                 1.5241,                0.71317,                 1.0576,               0.000416,               0.000416,               0.000416
                     42,                 1.4165,                0.77972,                 1.0134,                0.87083,                0.92425,                0.95064,                0.54155,                 1.5085,                0.71643,                 1.0527,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4088,                0.73909,                 1.0226,                0.88412,                0.92249,                 0.9508,                0.53474,                 1.5007,                0.71073,                 1.0602,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.3842,                0.71664,                 1.0158,                0.89546,                0.92552,                0.95603,                0.54016,                 1.5151,                0.69542,                 1.0566,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.3911,                0.70426,                 1.0153,                0.89383,                0.91947,                0.95398,                0.53621,                 1.5196,                0.70442,                 1.0583,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.385,                0.69304,                 1.0061,                0.89803,                0.93089,                0.95818,                0.53845,                 1.5084,                0.69852,                  1.055,               0.000218,               0.000218,               0.000218
                     47,                 1.3831,                0.69013,                 1.0101,                0.89746,                0.92508,                0.95788,                0.53785,                 1.5246,                0.69666,                 1.0621,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.3813,                0.68226,                 1.0186,                0.89684,                0.92905,                0.95785,                0.54725,                 1.4926,                0.67519,                 1.0531,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3667,                 0.6683,                 1.0068,                0.90215,                0.93121,                0.95896,                0.54928,                 1.4952,                0.66843,                 1.0539,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.3701,                 0.6704,                 1.0026,                0.90212,                0.93482,                0.96124,                0.54982,                 1.4979,                0.66644,                 1.0533,               5.96e-05,               5.96e-05,               5.96e-05
